31.350731501,74
31.656858275,66
31.656869199,66
31.951244525,74
31.952028133,66
32.244214833,66
32.284695503,143
32.284971855,1459
32.580254231,66
32.619017741,176
32.619028446,107
32.911407092,66
32.953561538,125
38.948387908,1399
39.240964637,66
39.281305433,125
71.142552750,1399
71.435150635,66
71.475454317,125
104.088106146,1399
104.380498933,66
104.421153613,125
137.266962864,1399
137.559500247,66
137.599812156,125
169.178606599,1399
169.471835665,66
169.514245608,125
203.322923821,1399
203.615518926,66
203.656245093,125
218.780243394,1398
219.072749135,66
219.962026088,125
238.569831003,1399
238.862244264,66
238.902597733,125
269.887545819,1399
270.180740273,66
270.220295815,125
285.271891910,1264
285.564436389,66
286.027659673,125
300.229478423,1332
300.522278769,66
300.562231993,125
329.977425686,1332
330.270084911,66
330.310326651,125
360.042570532,1332
360.335054255,66
360.375357619,125
390.894038830,1332
391.186498668,66
391.226645816,125
420.940346830,1332
421.254936014,66
421.313482180,125
451.132703191,1332
451.448169094,66
451.488192392,125
481.162609564,1332
481.477418816,66
481.517747240,125
492.143796619,1331
492.459232837,66
492.499229245,125
511.285485286,1332
511.601508273,66
511.641621731,125
541.372864448,1332
541.688028328,66
541.728048271,125
571.432079515,1332
571.746278490,66
571.787472146,125
601.425292334,1332
601.739990017,66
601.781152966,125
631.869166870,1332
632.184790590,66
632.226636350,125
666.642240373,1399
666.959894408,66
667.001024059,125
701.821905523,1399
702.137210079,66
702.178581190,125
736.805027871,1399
737.119637415,66
737.161030857,125
771.952567504,1399
772.790622278,66
772.830205597,125
804.914085702,1399
805.230885174,66
805.271030300,125
805.805877985,125
837.297493149,1399
837.614054154,66
837.654286676,125
867.450636834,1399
868.302978522,66
868.343365514,125
897.489386629,1399
897.804930576,66
897.845394454,125
927.246833450,1399
927.561060968,66
927.602038354,125
958.143773412,1399
958.460015470,66
958.499376522,125
988.294456801,1399
988.609555952,66
988.650369520,125
1018.286331504,1399
1018.579690463,66
1018.620321474,125
1048.610203011,1399
1048.903236805,66
1048.943618370,125
1083.661242846,1399
1083.953937459,66
1084.004126700,125
1118.979825198,1399
1119.272621003,66
1119.313247349,125
1153.935702000,1399
1154.228775003,66
1154.268909383,125
1184.087155691,1399
1184.380742036,66
1184.427435693,125
1214.090326165,1399
1214.383395448,66
1214.424106186,125
1244.495238256,1399
1244.788428757,66
1244.828493588,125
1274.479471610,1399
1274.773703994,66
1274.814134231,125
1305.532928705,1399
1305.827205639,66
1305.867419800,125
1335.428264783,1399
1335.722317000,66
1335.762711428,125
1361.196459368,1331
1361.490670992,66
1362.172387238,125
1375.877290660,1332
1376.171575814,66
1376.211718934,125
1405.961489028,1332
1406.256869762,66
1406.296100651,125
1436.530193936,1399
1436.824689094,66
1436.864640672,125
1466.518468077,1399
1466.812857899,66
1466.853070086,125
1497.251023791,1399
1497.545196945,66
1497.591257346,125
1527.191917123,1399
1527.486077005,66
1527.529191498,125
1558.452984307,1399
1558.747116596,66
1558.788298449,125
1588.436205246,1399
1588.730327768,66
1588.771564106,125
1619.798765418,1399
1620.093067082,66
1620.134238345,125
1652.510674875,1399
1652.804636916,66
1652.848057189,125
1685.847559904,1399
1686.141718546,66
1686.182838798,125
1687.540824791,1264
1687.839753619,66
1688.062809728,124
1702.338585018,1265
1702.632965881,66
1702.674168440,124
1732.005640219,1265
1732.299890453,66
1732.341234196,124
1762.005757612,1265
1762.300020384,66
1762.341242576,125
1793.446592429,1332
1793.740970613,66
1793.781948612,125
1823.238354111,1332
1823.535464817,66
1823.574012683,125
1854.427903334,1332
1854.726712959,66
1854.763445828,125
1886.112810203,1332
1886.406970905,66
1886.448153441,125
1920.683325785,1332
1920.977438093,66
1921.018930643,125
1954.856676672,1332
1955.152249962,66
1955.192950484,125
1986.681008619,1332
1986.975145920,66
1987.018498777,125
2020.103284194,1332
2020.397462630,66
2020.439035715,125
2052.711012960,1332
2053.005841401,66
2053.047134456,125
2083.239861294,1332
2083.534715292,66
2083.575812511,125
2113.511575115,1332
2113.806508580,66
2113.846818983,125
2144.478106009,1399
2144.772327558,66
2144.813225359,125
2174.690619724,1399
2174.984714317,66
2175.024767994,125
2205.997049158,1332
2206.290008953,66
2206.330610901,125
2227.669663594,1331
2227.962536431,66
2228.002768771,125
