"No.","Time","Source","Destination","Protocol","Length","Info"
"85","03:36:15.339423578","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"86","03:36:15.340704274","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"87","03:36:15.342003745","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"88","03:36:19.947669595","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"89","03:36:19.949010273","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"90","03:36:19.950283036","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"91","03:36:29.573170760","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"92","03:36:29.574481289","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"93","03:36:29.575725910","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"94","03:36:34.795822663","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"95","03:36:34.797129499","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"96","03:36:34.798472515","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"97","03:36:41.861177937","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"98","03:36:41.862392182","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"99","03:36:41.863645268","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"100","03:36:46.366996665","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"101","03:36:46.368241163","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"102","03:36:46.369517518","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"103","03:36:52.715762759","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"104","03:36:52.717045173","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"105","03:36:52.718389145","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"106","03:36:59.371720125","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"107","03:36:59.372970591","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"108","03:36:59.374185274","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"109","03:37:03.570022367","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"110","03:37:03.571299880","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"111","03:37:03.572761139","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"112","03:37:07.885174343","192.168.1.103","94.130.12.30","TLSv1.2","197","Application Data"
"113","03:37:08.075935663","94.130.12.30","192.168.1.103","TLSv1.2","166","Application Data"
"114","03:37:08.075963272","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=1105 Ack=2214 Win=64128 Len=0 TSval=2453295805 TSecr=860022271"
"115","03:37:09.920081842","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"116","03:37:12.383670589","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"117","03:37:12.389331096","192.168.1.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"118","03:37:12.394044467","192.168.1.1","239.255.255.250","SSDP","523","NOTIFY * HTTP/1.1 "
"119","03:37:12.398422042","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"120","03:37:12.403034462","192.168.1.1","239.255.255.250","SSDP","507","NOTIFY * HTTP/1.1 "
"121","03:37:12.407895896","192.168.1.1","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"122","03:37:12.412229080","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"123","03:37:12.482302688","192.168.1.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"124","03:37:12.487064873","192.168.1.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"125","03:37:12.492087871","192.168.1.1","239.255.255.250","SSDP","459","NOTIFY * HTTP/1.1 "
"126","03:37:12.501327808","192.168.1.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"127","03:37:12.506046638","192.168.1.1","239.255.255.250","SSDP","523","NOTIFY * HTTP/1.1 "
"128","03:37:12.510447034","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"129","03:37:12.515122735","192.168.1.1","239.255.255.250","SSDP","507","NOTIFY * HTTP/1.1 "
"130","03:37:12.589249271","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"131","03:37:12.594924573","192.168.1.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"132","03:37:12.599633343","192.168.1.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"133","03:37:13.017220560","Tp-LinkT_4e:78:74","LiteonTe_81:a3:7b","ARP","42","Who has 192.168.1.103? Tell 192.168.1.1"
"134","03:37:13.017230963","LiteonTe_81:a3:7b","Tp-LinkT_4e:78:74","ARP","42","192.168.1.103 is at 98:22:ef:81:a3:7b"
"135","03:37:13.089361702","LiteonTe_81:a3:7b","Tp-LinkT_4e:78:74","ARP","42","Who has 192.168.1.1? Tell 192.168.1.103"
"136","03:37:13.094273000","Tp-LinkT_4e:78:74","LiteonTe_81:a3:7b","ARP","42","192.168.1.1 is at ac:84:c6:4e:78:74"
"137","03:37:13.504109279","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"138","03:37:13.506101028","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"139","03:37:18.629391122","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"140","03:37:18.630738139","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"141","03:37:18.631987407","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"142","03:37:24.254941636","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"143","03:37:24.256171374","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"144","03:37:24.257440284","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"145","03:37:25.836003963","fe80::2860:e0ad:d860:d4d5","ff02::1:2","DHCPv6","126","Solicit XID: 0xece513 CID: 0004bd9e6aedb0d32beabc4c58fa0731f490 "
"146","03:37:25.839138377","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","DHCPv6","133","Advertise XID: 0xece513 CID: 0004bd9e6aedb0d32beabc4c58fa0731f490 "
"147","03:37:29.579669578","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"148","03:37:29.580944424","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"149","03:37:29.582255446","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"150","03:37:30.911167952","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","ICMPv6","86","Neighbor Solicitation for fe80::2860:e0ad:d860:d4d5 from ac:84:c6:4e:78:74"
"151","03:37:30.911190650","fe80::2860:e0ad:d860:d4d5","fe80::ae84:c6ff:fe4e:7874","ICMPv6","78","Neighbor Advertisement fe80::2860:e0ad:d860:d4d5 (sol)"
"152","03:37:31.526709564","94.130.12.30","192.168.1.103","TLSv1.2","515","Application Data"
